suburb,council_area,frequency,frequency_order
murrumbeena,glen eira,48,1
nar nar goon north,cardinia,2,1
narbethong,yarra ranges,1,1
narre warren,casey,18,1
narre warren north,casey,6,1
narre warren south,casey,16,1
newport,hobsons bay,44,1
niddrie,moonee valley,5,1
noble park,greater dandenong,27,1
noble park north,greater dandenong,5,1
north fitzroy,yarra,2,1
north melbourne,melbourne,340,1
"north melbourne, victoria, au",melbourne,1,1
north warrandyte,nillumbik,6,1
northcote,darebin,279,1
northcote south,darebin,2,1
"northcote, victoria, au",darebin,1,1
notting hill,monash,39,1
nunawading,whitehorse,9,1
oak park,moreland,14,1
oaklands junction,hume,6,1
oakleigh,monash,16,1
oakleigh east,monash,28,1
oakleigh south,monash,16,1
officer,cardinia,13,1
officer south,cardinia,1,1
olinda,yarra ranges,87,1
ormond,glen eira,25,1
pakenham,cardinia,21,1
pakenham upper,cardinia,1,1
panton hill,nillumbik,5,1
park orchards,manningham,8,1
parkdale,kingston,33,1
parkville,melbourne,86,1
pascoe vale,moreland,24,1
pascoe vale south,moreland,17,1
patterson lakes,kingston,14,1
pearcedale,casey,1,1
plumpton,melton,4,1
point cook,wyndham,191,1
port melbourne,port phillip,256,1
port phillip city,port phillip,2,1
powelltown,yarra ranges,1,1
praharan,stonnington,1,1
prahran,stonnington,261,1
prahran / toorak,stonnington,1,1
preston,darebin,142,1
preston west,darebin,1,1
princes hill,yarra,23,1
research,nillumbik,5,1
reservoir,darebin,69,1
richmond,yarra,570,1
"richmond, victoria, au",yarra,1,1
ringwood,maroondah,44,1
ringwood east,maroondah,13,1
ringwood north,maroondah,7,1
ripponlea,port phillip,25,1
ripponlea (east st kilda),port phillip,1,1
rockbank,melton,2,1
rosanna,banyule,13,1
rowville,knox,40,1
roxburgh park,hume,6,1
saint albans,brimbank,11,1
saint andrews,nillumbik,1,1
saint helena,banyule,1,1
saint kilda,port phillip,802,1
saint kilda beach,port phillip,1,1
saint kilda east,port phillip,139,1
saint kilda west,port phillip,90,1
"saint kilda, victoria, au",port phillip,1,1
sandhurst,frankston,8,1
sandringham,bayside,50,1
sassafras,yarra ranges,25,1
scoresby,knox,11,1
seabrook,hobsons bay,5,1
seaford,frankston,39,1
seaholme,hobsons bay,3,1
seddon,maribyrnong,36,1
selby,yarra ranges,4,1
seville,yarra ranges,8,1
seville east,yarra ranges,2,1
